Condition,Probe,Target,Distracter
Animal Colour,Indian Elephant,Pebble,Garden hose
Animal Colour,Kangaroo,Violin,Pumpkin
Animal Colour,Lion,Peanuts,Paper
Animal Colour,Mute Swan,China cup,Fig
Animal Colour,Dove,Lily,Kiwi fruit
Animal Colour,Cow,Dice,Pebble
Animal Colour,Rat,Fossil,Basketball
Animal Colour,Shrimp,Blossom,Peanuts
Animal Colour,Pet mouse,Paper,Garden hose
Animal Colour,Emperor Penguin,Keyboard,Fig
Animal Colour,Chicken,Peanuts,Banana
Animal Colour,Bee,Sunflower,Carrot
Animal Colour,Bengal Tiger,Basketball,Pebble
Animal Colour,Lizard,Brocolli,Paper
Animal Colour,Crab,Pumpkin,Violin
Animal Colour,Koala,Gravel,Paper
Animal Colour,Jellyfish,Glass,Violin
Animal Colour,Camel,Banana,Pebble
Animal Colour,Racehorse,Doormat,Fig
Animal Colour,Fox,Basketball,Kiwi fruit
Animal Colour,Dog,Paper bag,Banana
Animal Colour,Budgie,Kiwi fruit,Pebble
Animal Colour,Tortoise,Army Jeep,Peanuts
Animal Colour,Tabby Cat,Fur coat,Basketball
Animal Colour,Frog,Garden hose,Carrot
Animal Colour,Slug,Fig,Peanuts
Animal Colour,Duckling,Builders hat,Basketball
Animal Colour,Octopus,Pumpkin,Garden hose
Animal Colour,Tamworth Pig,Candy floss,Violin
Animal Colour,Goldfish,Carrot,Banana
Tool Action,Skewer,Plunger,Mop
Tool Action,Tin opener,Tap,Spade
Tool Action,Stopwatch,Mechanical pencil,Winch
Tool Action,Spanner,Door handle,Fishing rod
Tool Action,Chisel,Dagger,Wand
Tool Action,Scoop,Spade,Mechanical pencil
Tool Action,Sandpaper,Cloth,Fishing reel
Tool Action,Saw,Lever,Key
Tool Action,Mower,Zimmer frame,Screwdriver
Tool Action,Hammer,Drumstick,Screw top
Tool Action,Key,Screwdriver,Plunger
Tool Action,Remote Control,Calculator,Mop
Tool Action,Frying pan,Vaccum,Match
Tool Action,Pin,Dart,Dagger
Tool Action,Glasses case,Jewelry box,Toothbrush
Tool Action,Spade,Mop,Jewelry box
Tool Action,Screwdriver,Key,Stress ball
Tool Action,Clamp,Fishing reel,Vaccum
Tool Action,Axe,Fishing rod,Lever
Tool Action,Paint brush,Wand,Plunger
Tool Action,Tap,Screw top,Calculator
Tool Action,Toilet brush,Plunger,Lever
Tool Action,Nut cracker,Stress ball,Dart
Tool Action,Grater,Match,Racket
Tool Action,Shovel,Mop,Wheelbarrow
Tool Action,Steering wheel,Winch,Zimmer frame
Tool Action,Microphone,Toothbrush,Door handle
Tool Action,Stretcher,Wheelbarrow,Tap
Tool Action,Bottle opener,Lever,Drumstick
Tool Action,Mallet,Racket,Cloth
